OpenPrice,HighestPrice,LowestPrice,ClosePrice,Volume,High-Low,Close-Open,close-rsi %3,close-rsi %7,close-rsi %12,close-rsi %26,close-rsi %60,close-ma3,close-ma7,close-ma12,close-ma26,close-ma60,close-bias3,close-bias7,close-bias12,close-bias26,close-bias60,close-wma3,close-wma7,close-wma12,close-wma26,close-wma60,close-es0.0,close-es0.05,close-es0.1,close-es0.15,close-es0.2,close-es0.25,close-es0.3,close-es0.35,close-es0.4,close-es0.45,close-es0.5,close-es0.55,close-es0.6,close-es0.65,close-es0.7,close-es0.75,close-es0.8,close-es0.85,close-es0.9,close-es0.95,di,close-macd5,close-macd10,close-macd15,%K-4,%D-4,slow %D-4,%K-6,%D-6,slow %D-6,%K-8,%D-8,slow %D-8,%K-10,%D-10,slow %D-10,close-momentum5,close-momentum10,close-momentum15,volume_ma3,volume_ma7,volume_ma12,volume_ma26,volume_ma60,volume_ratio_3,volume_ratio_7,volume_ratio_12,volume_ratio_26,volume_ratio_60,Y
31.24,31.24,31.24,31.24,0,0,0,14.70588235,45.45454545,42.85714286,46.54731458,46.52448657,31.22666667,31.44,31.41916667,31.59076923,31.88766667,0.000426985,-0.006361323,-0.005702464,-0.011103536,-0.020310883,31.23333333,31.38857143,31.41064103,31.50535613,31.71134426,31.24,31.23944154,31.24172342,31.24675714,31.25441438,31.26451838,31.2768364,31.29107385,31.30687099,31.32380374,31.34139212,31.35912429,31.37651447,31.39323191,31.40937108,31.42598464,31.44611124,31.47700992,31.537202,31.68707752,31.24,31.453,31.4255,31.43366667,100,75,81.25,100,83.33333333,91.66666667,100,87.5,90.10416667,100,90,83.76190476,-0.48,-0.21,-0.24,2.666666667,1.857142857,2,13.11538462,12.7,0,0,0,0,0,31.38
31.29,31.38,31.29,31.38,2,0.09,0.09,6.451612903,45.45454545,42.85714286,42.73972603,47.12,31.28666667,31.44857143,31.42583333,31.58961538,31.87233333,0.002983166,-0.002180431,-0.00145846,-0.006635579,-0.015447044,31.31,31.37357143,31.40461538,31.48974359,31.69469945,31.24,31.23997208,31.24017234,31.24101357,31.24288288,31.2461296,31.25105092,31.25787585,31.2667484,31.27771168,31.29069606,31.30551836,31.32190868,31.33960074,31.35855976,31.37948848,31.40488899,31.44145843,31.5074818,31.66472365,31.3575,31.3805,31.4195,31.42583333,100,75,75,100,83.33333333,88.88888889,100,87.5,90.625,100,90,85.66666667,-0.4,0.04,-0.1,2.666666667,2.142857143,2.083333333,12.30769231,11.81666667,0.75,0.933333333,0.96,0.1625,0.169252468,31.38
31.38,31.38,31.38,31.38,0,0,0,100,52.45901639,52.43902439,49.56268222,46.2601626,31.33333333,31.42,31.41416667,31.58153846,31.863,0.001489362,-0.001273074,-0.00108762,-0.006381528,-0.015158648,31.35666667,31.35642857,31.3975641,31.47421652,31.67855738,31.38,31.3729986,31.36601723,31.35915204,31.35257658,31.3465324,31.34131528,31.33725655,31.33469936,31.33397026,31.33534803,31.3390351,31.34514521,31.35374048,31.36499183,31.37961636,31.39991119,31.43223967,31.49473362,31.65048746,31.38,31.3005,31.42425,31.41916667,100,100,81.25,100,83.33333333,86.11111111,100,87.5,90.625,100,90,87,0.18,0.04,-0.1,0.666666667,2,1.833333333,11.15384615,11.78333333,0,0,0,0,0,31.44
31.39,31.44,31.39,31.44,3,0.05,0.05,100,39.58333333,45.07042254,46.76923077,47.65494137,31.4,31.38,31.41333333,31.56730769,31.85533333,0.001273885,0.001912046,0.000848896,-0.004032897,-0.01303811,31.41,31.36142857,31.40153846,31.46373219,31.66468852,31.38,31.37964993,31.37860172,31.37687281,31.37451532,31.3716331,31.36839458,31.36503979,31.36187974,31.35928662,31.35767401,31.3574693,31.35908713,31.36293131,31.36949428,31.37971227,31.39592895,31.42440372,31.48326026,31.63696309,31.4275,31.326,31.433,31.41566667,100,100,87.5,100,83.33333333,83.33333333,100,87.5,90.10416667,100,90,88.33333333,0.2,0.12,0.14,1.666666667,2.142857143,1.916666667,10.46153846,11.73333333,1.8,1.4,1.565217391,0.286764706,0.255681818,31.44
31.44,31.44,31.44,31.44,0,0,0,100,34.09090909,49.64539007,44.01294498,48.07692308,31.42,31.33142857,31.42166667,31.55576923,31.84766667,0.000636537,0.003465256,0.000583462,-0.003668718,-0.012800519,31.43,31.37642857,31.40564103,31.45430199,31.65107104,31.44,31.4369825,31.43386017,31.43053092,31.42690306,31.42290827,31.41851837,31.41376393,31.4087519,31.40367898,31.39883701,31.39460812,31.39145228,31.38990535,31.390646,31.3947842,31.40474316,31.42674316,31.47893423,31.62711494,31.44,31.369,31.445,31.425,100,100,93.75,100,100,86.11111111,100,87.5,89.0625,100,90,89.66666667,0.2,-0.14,-0.08,1,1.857142857,1.5,8.192307692,11.73333333,0,0,0,0,0,31.48
31.48,31.48,31.48,31.48,5,0,0,100,29.26829268,53.84615385,45.03311258,48.07692308,31.45333333,31.37142857,31.43333333,31.53884615,31.84033333,0.000847817,0.003460838,0.001484624,-0.001865831,-0.011316883,31.46,31.41357143,31.41461538,31.44868946,31.63901639,31.44,31.43984912,31.43938602,31.43857964,31.43738061,31.43572707,31.43355551,31.43081737,31.42750076,31.42365554,31.4194185,31.41503446,31.41087137,31.40743848,31.4054522,31.40608815,31.41179453,31.42873168,31.47504081,31.61775919,31.48,31.417,31.435,31.42266667,100,100,100,100,100,88.88888889,100,87.5,87.5,100,90,90,0.1,-0.24,0.03,2.666666667,2.285714286,1.916666667,7.538461538,11.81666667,1.875,2.1875,2.608695652,0.663265306,0.423131171,31.28
31.28,31.28,31.28,31.28,1,0,0,100,100,55.2238806,42.36111111,48.16360601,31.4,31.37714286,31.43,31.51423077,31.82216667,-0.003821656,-0.003095975,-0.00477251,-0.00743254,-0.01703739,31.37333333,31.39071429,31.39102564,31.42951567,31.62064481,31.48,31.47799246,31.4759386,31.47378695,31.47147612,31.46893177,31.46606665,31.46278608,31.4590003,31.45464499,31.44970925,31.44426896,31.43852282,31.43283501,31.42781654,31.42456611,31.42543562,31.43642193,31.47553673,31.61087123,31.28,31.4015,31.391,31.4135,100,100,100,100,100,91.66666667,100,100,89.0625,100,90,90,-0.1,-0.5,-0.06,2,1.571428571,2,7.576923077,11.26666667,0.5,0.636363636,0.5,0.131979695,0.088757396,31.28
31.28,31.28,31.28,31.28,0,0,0,16.66666667,54.54545455,48.68421053,39.61038961,45.35379369,31.34666667,31.38285714,31.405,31.47961538,31.804,-0.002126755,-0.003277495,-0.003980258,-0.0063411,-0.016475915,31.31333333,31.36642857,31.36794872,31.41216524,31.60286885,31.28,31.28989962,31.29959386,31.30906804,31.31829522,31.32723294,31.33582,31.34397513,31.35160012,31.35859025,31.36485463,31.37034793,31.37511369,31.37934276,31.38347158,31.38842458,31.3963485,31.41295864,31.45598305,31.59432767,31.28,31.3815,31.341,31.41,100,100,100,100,100,94.44444444,100,100,90.625,100,90,89.66666667,-0.16,0.08,-0.06,2,1.571428571,1.916666667,7.538461538,11.26666667,0,0,0,0,0,31.6
31.6,31.6,31.6,31.6,1,0,0,16.66666667,54.54545455,38.0952381,34.04255319,45.35379369,31.38666667,31.41428571,31.395,31.46461538,31.78983333,0.006796941,0.005911778,0.006529702,0.004302758,-0.005971511,31.44,31.42071429,31.39794872,31.42108262,31.59618033,31.28,31.28049498,31.28195939,31.28436021,31.28765904,31.29180824,31.296746,31.30239129,31.30864005,31.31536561,31.32242731,31.32969136,31.33706821,31.34457279,31.3524301,31.36131844,31.3730788,31.39301485,31.43838475,31.57861129,31.6,31.416,31.371,31.42733333,100,100,100,100,100,97.22222222,100,100,92.1875,100,100,91,0.16,0.36,0.28,0.666666667,1.428571429,1.833333333,5.807692308,11.23333333,1.5,0.7,0.545454545,0.17218543,0.089020772,31.59
31.59,31.59,31.59,31.59,4,0,0,61.53846154,67.74193548,45.83333333,43.38983051,46.44945698,31.49,31.44428571,31.37916667,31.45269231,31.7755,0.003175611,0.004634047,0.006718895,0.004365531,-0.005837831,31.54166667,31.46464286,31.42794872,31.43037037,31.58962842,31.6,31.58402475,31.56819594,31.55265403,31.53753181,31.52295206,31.5090238,31.49583695,31.48345602,31.47191452,31.46121366,31.45133025,31.44224093,31.43397232,31.42670107,31.42098883,31.41846304,31.42406262,31.45454627,31.57968072,31.59,31.446,31.4075,31.44533333,100,100,100,100,100,100,100,100,93.75,100,100,92,0.11,0.35,0.01,1.666666667,2,2,2.038461538,11.3,2.4,2,2,1.962264151,0.353982301,31.59
